"","threshold","peak.amplitude","smooth","hold.time","min.duration","max.duration","thinning","detections","true.positives","false.positives","false.negatives","splits","merges","overlap","mean.duration.true.positives","mean.duration.false.positives","mean.duration.false.negatives","proportional.duration.true.positives","duty.cycle","recall","precision","f.score"
"1",1,0,5,0,5,275,1,153,81,72,24,0,0,0.89585954174397,106,30,142,1.10113700315887,0.261206362328241,0.771428571428571,0.529411764705882,0.627906976744186
"2",5,0,5,0,5,275,1,194,62,132,43,0,0,0.806018500946265,82,31,74,0.869868334256185,0.208692392380696,0.59047619047619,0.319587628865979,0.414715719063545
"3",1,0,10,0,5,275,1,133,72,61,33,0,0,0.896375073634491,107,41,132,1.15851240092453,0.253265617682691,0.685714285714286,0.541353383458647,0.605042016806723
"4",5,0,10,0,5,275,1,149,64,85,41,0,0,0.78027327382972,99,51,85,0.958160327143286,0.234425473314222,0.60952380952381,0.429530201342282,0.503937007874016
"5",1,0,5,5,5,275,1,134,75,59,30,0,0,0.901486281768356,104,38,134,1.1231485385533,0.246698127016898,0.714285714285714,0.559701492537313,0.627615062761506
"6",5,0,5,5,5,275,1,153,54,99,51,0,0,0.802550028397923,99,47,82,0.952389474615811,0.21650669671775,0.514285714285714,0.352941176470588,0.418604651162791
"7",1,0,10,5,5,275,1,108,66,42,39,0,0,0.924701707486387,100,50,152,1.08133383702344,0.222110269881142,0.628571428571429,0.611111111111111,0.619718309859155
"8",5,0,10,5,5,275,1,135,66,69,39,0,0,0.779770387637493,103,52,83,0.968114808420603,0.236201925151518,0.628571428571429,0.488888888888889,0.55
"9",1,0,5,0,15,275,1,110,81,29,24,0,0,0.89585954174397,106,58,142,1.10113700315887,0.25396032250325,0.771428571428571,0.736363636363636,0.753488372093023
"10",5,0,5,0,15,275,1,142,62,80,43,0,0,0.806018500946265,82,57,74,0.869868334256185,0.196791967514443,0.59047619047619,0.436619718309859,0.502024291497976
"11",1,0,10,0,15,275,1,104,72,32,33,0,0,0.896375073634491,107,63,132,1.15851240092453,0.24732022444081,0.685714285714286,0.692307692307692,0.688995215311005
"12",5,0,10,0,15,275,1,135,63,72,42,0,0,0.784169670811507,101,57,84,0.959255063976107,0.230951154004063,0.6,0.466666666666667,0.525
"13",1,0,5,5,15,275,1,97,75,22,30,0,0,0.901486281768356,104,77,134,1.1231485385533,0.240402997165874,0.714285714285714,0.77319587628866,0.742574257425743
"14",5,0,5,5,15,275,1,134,54,80,51,0,0,0.802550028397923,99,66,82,0.952389474615811,0.212600533905019,0.514285714285714,0.402985074626866,0.451882845188284
"15",1,0,10,5,15,275,1,85,66,19,39,0,0,0.924701707486387,100,82,152,1.08133383702344,0.217305477821368,0.628571428571429,0.776470588235294,0.694736842105263
"16",5,0,10,5,15,275,1,122,65,57,40,0,0,0.783539158770728,105,60,83,0.969029531084391,0.233149504985441,0.619047619047619,0.532786885245902,0.572687224669604
"17",1,0,5,0,25,275,1,100,81,19,24,0,0,0.89585954174397,106,80,142,1.10113700315887,0.250336888340147,0.771428571428571,0.81,0.790243902439024
"18",5,0,5,0,25,275,1,108,51,57,54,0,0,0.816436553888603,96,71,73,0.864560809661034,0.179988065681455,0.485714285714286,0.472222222222222,0.47887323943662
"19",1,0,10,0,25,275,1,94,72,22,33,0,0,0.896375073634491,107,81,132,1.15851240092453,0.243785133973803,0.685714285714286,0.765957446808511,0.723618090452261
"20",5,0,10,0,25,275,1,117,56,61,49,0,0,0.791623120420142,111,68,83,0.946689758718407,0.221969933530207,0.533333333333333,0.478632478632479,0.504504504504505
"21",1,0,5,5,25,275,1,91,75,16,30,0,0,0.901486281768356,104,118,134,1.1231485385533,0.23804398022918,0.714285714285714,0.824175824175824,0.76530612244898
"22",5,0,5,5,25,275,1,103,43,60,62,0,0,0.814019040072982,118,77,84,0.951776630852424,0.196650742465256,0.40952380952381,0.41747572815534,0.413461538461538
"23",1,0,10,5,25,275,1,80,66,14,39,0,0,0.924701707486387,100,96,152,1.08133383702344,0.21530271131161,0.628571428571429,0.825,0.713513513513514
"24",5,0,10,5,25,275,1,105,58,47,47,0,0,0.790689395052351,115,72,82,0.955438613413444,0.224645170151866,0.552380952380952,0.552380952380952,0.552380952380952
"25",1,0,5,0,5,300,1,161,89,72,16,0,0,0.903054458898769,122,28,59,1.09243867694034,0.30715968068416,0.847619047619048,0.552795031055901,0.669172932330827
"26",5,0,5,0,5,300,1,194,62,132,43,0,0,0.806018500946265,82,31,74,0.869868334256185,0.208692392380696,0.59047619047619,0.319587628865979,0.414715719063545
"27",1,0,10,0,5,300,1,145,84,61,21,0,0,0.907626822598437,133,36,50,1.13519044445894,0.322475016311038,0.8,0.579310344827586,0.672
"28",5,0,10,0,5,300,1,149,64,85,41,0,0,0.78027327382972,99,51,85,0.958160327143286,0.234425473314222,0.60952380952381,0.429530201342282,0.503937007874016
"29",1,0,5,5,5,300,1,145,86,59,19,0,0,0.910725105460366,127,33,53,1.10521062688984,0.309522066535581,0.819047619047619,0.593103448275862,0.688
"30",5,0,5,5,5,300,1,153,54,99,51,0,0,0.802550028397923,99,47,82,0.952389474615811,0.21650669671775,0.514285714285714,0.352941176470588,0.418604651162791
"31",1,0,10,5,5,300,1,120,78,42,27,0,0,0.932461031931883,128,42,63,1.0680915091222,0.291319668509489,0.742857142857143,0.65,0.693333333333333
"32",5,0,10,5,5,300,1,135,66,69,39,0,0,0.779770387637493,103,52,83,0.968114808420603,0.236201925151518,0.628571428571429,0.488888888888889,0.55
"33",1,0,5,0,15,300,1,118,89,29,16,0,0,0.903054458898769,122,54,59,1.09243867694034,0.299913640859169,0.847619047619048,0.754237288135593,0.798206278026906
"34",5,0,5,0,15,300,1,142,62,80,43,0,0,0.806018500946265,82,57,74,0.869868334256185,0.196791967514443,0.59047619047619,0.436619718309859,0.502024291497976
"35",1,0,10,0,15,300,1,116,84,32,21,0,0,0.907626822598437,133,55,50,1.13519044445894,0.316529623069158,0.8,0.724137931034483,0.760180995475113
"36",5,0,10,0,15,300,1,135,63,72,42,0,0,0.784169670811507,101,57,84,0.959255063976107,0.230951154004063,0.6,0.466666666666667,0.525
"37",1,0,5,5,15,300,1,108,86,22,19,0,0,0.910725105460366,127,66,53,1.10521062688984,0.303226936684557,0.819047619047619,0.796296296296296,0.807511737089202
"38",5,0,5,5,15,300,1,134,54,80,51,0,0,0.802550028397923,99,66,82,0.952389474615811,0.212600533905019,0.514285714285714,0.402985074626866,0.451882845188284
"39",1,0,10,5,15,300,1,97,78,19,27,0,0,0.932461031931883,128,69,63,1.0680915091222,0.286514876449716,0.742857142857143,0.804123711340206,0.772277227722772
"40",5,0,10,5,15,300,1,122,65,57,40,0,0,0.783539158770728,105,60,83,0.969029531084391,0.233149504985441,0.619047619047619,0.532786885245902,0.572687224669604
"41",1,0,5,0,25,300,1,108,89,19,16,0,0,0.903054458898769,122,77,59,1.09243867694034,0.296290206696066,0.847619047619048,0.824074074074074,0.835680751173709
"42",5,0,5,0,25,300,1,108,51,57,54,0,0,0.816436553888603,96,71,73,0.864560809661034,0.179988065681455,0.485714285714286,0.472222222222222,0.47887323943662
"43",1,0,10,0,25,300,1,106,84,22,21,0,0,0.907626822598437,133,72,50,1.13519044445894,0.31299453260215,0.8,0.792452830188679,0.796208530805687
"44",5,0,10,0,25,300,1,117,56,61,49,0,0,0.791623120420142,111,68,83,0.946689758718407,0.221969933530207,0.533333333333333,0.478632478632479,0.504504504504505
"45",1,0,5,5,25,300,1,102,86,16,19,0,0,0.910725105460366,127,118,53,1.10521062688984,0.300867919747863,0.819047619047619,0.843137254901961,0.830917874396135
"46",5,0,5,5,25,300,1,103,43,60,62,0,0,0.814019040072982,118,77,84,0.951776630852424,0.196650742465256,0.40952380952381,0.41747572815534,0.413461538461538
"47",1,0,10,5,25,300,1,92,78,14,27,0,0,0.932461031931883,128,82,63,1.0680915091222,0.284512109939958,0.742857142857143,0.847826086956522,0.791878172588833
"48",5,0,10,5,25,300,1,105,58,47,47,0,0,0.790689395052351,115,72,82,0.955438613413444,0.224645170151866,0.552380952380952,0.552380952380952,0.552380952380952
"49",1,0,5,0,5,325,1,161,89,72,16,0,0,0.903054458898769,122,28,59,1.09243867694034,0.30715968068416,0.847619047619048,0.552795031055901,0.669172932330827
"50",5,0,5,0,5,325,1,194,62,132,43,0,0,0.806018500946265,82,31,74,0.869868334256185,0.208692392380696,0.59047619047619,0.319587628865979,0.414715719063545
"51",1,0,10,0,5,325,1,145,84,61,21,0,0,0.907626822598437,133,36,50,1.13519044445894,0.322475016311038,0.8,0.579310344827586,0.672
"52",5,0,10,0,5,325,1,149,64,85,41,0,0,0.78027327382972,99,51,85,0.958160327143286,0.234425473314222,0.60952380952381,0.429530201342282,0.503937007874016
"53",1,0,5,5,5,325,1,145,86,59,19,0,0,0.910725105460366,127,33,53,1.10521062688984,0.309522066535581,0.819047619047619,0.593103448275862,0.688
"54",5,0,5,5,5,325,1,153,54,99,51,0,0,0.802550028397923,99,47,82,0.952389474615811,0.21650669671775,0.514285714285714,0.352941176470588,0.418604651162791
"55",1,0,10,5,5,325,1,120,78,42,27,0,0,0.932461031931883,128,42,63,1.0680915091222,0.291319668509489,0.742857142857143,0.65,0.693333333333333
"56",5,0,10,5,5,325,1,135,66,69,39,0,0,0.779770387637493,103,52,83,0.968114808420603,0.236201925151518,0.628571428571429,0.488888888888889,0.55
"57",1,0,5,0,15,325,1,118,89,29,16,0,0,0.903054458898769,122,54,59,1.09243867694034,0.299913640859169,0.847619047619048,0.754237288135593,0.798206278026906
"58",5,0,5,0,15,325,1,142,62,80,43,0,0,0.806018500946265,82,57,74,0.869868334256185,0.196791967514443,0.59047619047619,0.436619718309859,0.502024291497976
"59",1,0,10,0,15,325,1,116,84,32,21,0,0,0.907626822598437,133,55,50,1.13519044445894,0.316529623069158,0.8,0.724137931034483,0.760180995475113
"60",5,0,10,0,15,325,1,135,63,72,42,0,0,0.784169670811507,101,57,84,0.959255063976107,0.230951154004063,0.6,0.466666666666667,0.525
"61",1,0,5,5,15,325,1,108,86,22,19,0,0,0.910725105460366,127,66,53,1.10521062688984,0.303226936684557,0.819047619047619,0.796296296296296,0.807511737089202
"62",5,0,5,5,15,325,1,134,54,80,51,0,0,0.802550028397923,99,66,82,0.952389474615811,0.212600533905019,0.514285714285714,0.402985074626866,0.451882845188284
"63",1,0,10,5,15,325,1,97,78,19,27,0,0,0.932461031931883,128,69,63,1.0680915091222,0.286514876449716,0.742857142857143,0.804123711340206,0.772277227722772
"64",5,0,10,5,15,325,1,122,65,57,40,0,0,0.783539158770728,105,60,83,0.969029531084391,0.233149504985441,0.619047619047619,0.532786885245902,0.572687224669604
"65",1,0,5,0,25,325,1,108,89,19,16,0,0,0.903054458898769,122,77,59,1.09243867694034,0.296290206696066,0.847619047619048,0.824074074074074,0.835680751173709
"66",5,0,5,0,25,325,1,108,51,57,54,0,0,0.816436553888603,96,71,73,0.864560809661034,0.179988065681455,0.485714285714286,0.472222222222222,0.47887323943662
"67",1,0,10,0,25,325,1,106,84,22,21,0,0,0.907626822598437,133,72,50,1.13519044445894,0.31299453260215,0.8,0.792452830188679,0.796208530805687
"68",5,0,10,0,25,325,1,117,56,61,49,0,0,0.791623120420142,111,68,83,0.946689758718407,0.221969933530207,0.533333333333333,0.478632478632479,0.504504504504505
"69",1,0,5,5,25,325,1,102,86,16,19,0,0,0.910725105460366,127,118,53,1.10521062688984,0.300867919747863,0.819047619047619,0.843137254901961,0.830917874396135
"70",5,0,5,5,25,325,1,103,43,60,62,0,0,0.814019040072982,118,77,84,0.951776630852424,0.196650742465256,0.40952380952381,0.41747572815534,0.413461538461538
"71",1,0,10,5,25,325,1,92,78,14,27,0,0,0.932461031931883,128,82,63,1.0680915091222,0.284512109939958,0.742857142857143,0.847826086956522,0.791878172588833
"72",5,0,10,5,25,325,1,105,58,47,47,0,0,0.790689395052351,115,72,82,0.955438613413444,0.224645170151866,0.552380952380952,0.552380952380952,0.552380952380952
